id	depth	type	is_leaf	name	path
culture-performing-arts-music-lists-songs-and-compositions-christmas-number-one-singles-uk	6	event	true	Christmas number one singles (UK)	Culture / Performing arts / Music / Lists / Songs and compositions / Christmas number one singles (UK)
culture-performing-arts-music-lists-songs-and-compositions-compositions-of-johann-sebastian-bach	6	event	true	Compositions of Johann Sebastian Bach	Culture / Performing arts / Music / Lists / Songs and compositions / Compositions of Johann Sebastian Bach
culture-performing-arts-music-lists-songs-and-compositions-famous-operas	6	event	true	Famous operas	Culture / Performing arts / Music / Lists / Songs and compositions / Famous operas
culture-performing-arts-music-lists-songs-and-compositions-operettas	6	event	true	Operettas	Culture / Performing arts / Music / Lists / Songs and compositions / Operettas
culture-performing-arts-music-lists-video-game-music	5	event	false	Video game music	Culture / Performing arts / Music / Lists / Video game music
culture-performing-arts-music-lists-video-game-music-video-game-musicians	6	event	true	Video game musicians	Culture / Performing arts / Music / Lists / Video game music / Video game musicians
culture-sports-ball-games-association-football-lists	5	event	false	Lists	Culture / Sports / Ball games / Association football / Lists
culture-sports-ball-games-association-football-lists-100-greatest-living-football-players	6	event	true	100 Greatest Living Football Players	Culture / Sports / Ball games / Association football / Lists / 100 Greatest Living Football Players
culture-sports-ball-games-association-football-lists-football-clubs-in-france	6	event	true	Football clubs in France	Culture / Sports / Ball games / Association football / Lists / Football clubs in France
culture-sports-ball-games-association-football-lists-football-teams	6	event	true	Football teams	Culture / Sports / Ball games / Association football / Lists / Football teams
culture-sports-ball-games-association-football-lists-national-association-football-teams-by-nickname	6	event	true	National association football teams by nickname	Culture / Sports / Ball games / Association football / Lists / National association football teams by nickname
culture-sports-ball-games-association-football-lists-women-s-association-football-clubs	6	event	true	Women's association football clubs	Culture / Sports / Ball games / Association football / Lists / Women's association football clubs
culture-sports-ball-games-baseball-lists	5	event	false	Lists	Culture / Sports / Ball games / Baseball / Lists
culture-sports-ball-games-baseball-lists-al-gold-glove-winners	6	event	false	AL Gold Glove Winners	Culture / Sports / Ball games / Baseball / Lists / AL Gold Glove Winners
culture-sports-ball-games-baseball-lists-al-gold-glove-winners-1st-base	7	event	true	1st Base	Culture / Sports / Ball games / Baseball / Lists / AL Gold Glove Winners / 1st Base
culture-sports-ball-games-baseball-lists-al-gold-glove-winners-2nd-base	7	event	true	2nd Base	Culture / Sports / Ball games / Baseball / Lists / AL Gold Glove Winners / 2nd Base
culture-sports-ball-games-baseball-lists-al-gold-glove-winners-3rd-base	7	event	true	3rd Base	Culture / Sports / Ball games / Baseball / Lists / AL Gold Glove Winners / 3rd Base
culture-sports-ball-games-baseball-lists-al-gold-glove-winners-catcher	7	event	true	Catcher	Culture / Sports / Ball games / Baseball / Lists / AL Gold Glove Winners / Catcher
culture-sports-ball-games-baseball-lists-al-gold-glove-winners-outfield	7	event	true	Outfield	Culture / Sports / Ball games / Baseball / Lists / AL Gold Glove Winners / Outfield
culture-sports-ball-games-baseball-lists-al-gold-glove-winners-pitcher	7	event	true	Pitcher	Culture / Sports / Ball games / Baseball / Lists / AL Gold Glove Winners / Pitcher
culture-sports-ball-games-baseball-lists-al-gold-glove-winners-shortstop	7	event	true	Shortstop	Culture / Sports / Ball games / Baseball / Lists / AL Gold Glove Winners / Shortstop
culture-sports-ball-games-baseball-lists-highest-paid-baseball-players	6	event	true	Highest paid baseball players	Culture / Sports / Ball games / Baseball / Lists / Highest paid baseball players
culture-sports-ball-games-baseball-lists-lifetime-home-run-leaders	6	event	true	Lifetime home run leaders	Culture / Sports / Ball games / Baseball / Lists / Lifetime home run leaders
culture-sports-ball-games-baseball-lists-major-league-baseball-players	6	event	true	Major league baseball players	Culture / Sports / Ball games / Baseball / Lists / Major league baseball players
culture-sports-ball-games-baseball-lists-nl-gold-glove-winners	6	event	false	NL Gold Glove Winners	Culture / Sports / Ball games / Baseball / Lists / NL Gold Glove Winners
culture-sports-ball-games-baseball-lists-nl-gold-glove-winners-1st-base	7	event	true	1st Base	Culture / Sports / Ball games / Baseball / Lists / NL Gold Glove Winners / 1st Base
culture-sports-ball-games-baseball-lists-nl-gold-glove-winners-2nd-base	7	event	true	2nd Base	Culture / Sports / Ball games / Baseball / Lists / NL Gold Glove Winners / 2nd Base
culture-sports-ball-games-baseball-lists-nl-gold-glove-winners-3rd-base	7	event	true	3rd Base	Culture / Sports / Ball games / Baseball / Lists / NL Gold Glove Winners / 3rd Base
